Age,EdLevel,YearsCode,Country,Currency,LanguageHaveWorkedWith,Industry,OrgSize
25-34,Master’s degree,8,India,INR	Indian rupee,Bash/Shell (all shells);MATLAB;Python;SQL,"Internet, Telecomm or Information Services",20 to 99 employees
18-24,Attended college but no degree,8,Greece,EUR European Euro,Bash/Shell (all shells);Go;Python;SQL,Fintech,20 to 99 employees
45-54,Master’s degree,28,Poland,PLN	Polish zloty,Python,Healthcare,"10,000 or more employees"
25-34,Bachelor’s degree,5,Austria,EUR European Euro,Java;Kotlin;Python;SQL,Software Development,2 to 9 employees
45-54,Attended college but no degree,22,Italy,EUR European Euro,Bash/Shell (all shells);C;C++;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Healthcare,100 to 499 employees
25-34,Master’s degree,14,Madagascar,MGA	Malagasy ariary,HTML/CSS;JavaScript;TypeScript,Computer Systems Design and Services,10 to 19 employees
25-34,Bachelor’s degree,10,Belgium,EUR European Euro,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;SQL,Software Development,100 to 499 employees
25-34,Bachelor’s degree,12,Indonesia,IDR	Indonesian rupiah,HTML/CSS;JavaScript;Objective-C;Swift,Insurance,100 to 499 employees
18-24,Associate degree,4,Spain,EUR European Euro,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript;Visual Basic (.Net),Software Development,20 to 99 employees
35-44,Bachelor’s degree,20,Slovenia,EUR European Euro,Apex;HTML/CSS;Java;JavaScript;PHP;SQL;VBA,"Internet, Telecomm or Information Services",20 to 99 employees
25-34,Bachelor’s degree,9,Bangladesh,BDT	Bangladeshi taka,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),Software Development,2 to 9 employees
18-24,Bachelor’s degree,5,Pakistan,PKR	Pakistani rupee,Haskell;JavaScript,Insurance,10 to 19 employees
18-24,Master’s degree,4,Ukraine,UAH	Ukrainian hryvnia,C#;Go;HTML/CSS;JavaScript;PHP,Manufacturing,"10,000 or more employees"
45-54,Master’s degree,35,Germany,EUR European Euro,HTML/CSS;Python;SQL;VBA;Visual Basic (.Net),Manufacturing,"10,000 or more employees"
18-24,Secondary school,7,Austria,EUR European Euro,C#;HTML/CSS;JavaScript;SQL,Manufacturing,100 to 499 employees
18-24,Master’s degree,5,Pakistan,PKR	Pakistani rupee,C;C#;C++;Java;Kotlin;Solidity,Software Development,100 to 499 employees
35-44,Master’s degree,12,Germany,EUR European Euro,Bash/Shell (all shells);C;C#;C++;Elixir;Erlang;HTML/CSS;JavaScript;Lua;PHP;Python;TypeScript,Energy,10 to 19 employees
25-34,Master’s degree,5,China,CNY	Chinese Yuan Renminbi,Clojure;Dart;Go;Java;JavaScript;Kotlin;Lua;Python;Rust;Scala;SQL;Swift;TypeScript,"Internet, Telecomm or Information Services",100 to 499 employees
35-44,Professional degree,25,Switzerland,CHF	Swiss franc,C;Clojure;Python,Software Development,"10,000 or more employees"
35-44,Attended college but no degree,8,UK and Northern Ireland,GBP	Pound sterling,Python;SQL;VBA,Retail and Consumer Services,500 to 999 employees
18-24,Bachelor’s degree,7,India,INR	Indian rupee,Java;Python;TypeScript,Software Development,500 to 999 employees
35-44,Bachelor’s degree,20,Cyprus,EUR European Euro,Dart;Java,Retail and Consumer Services,10 to 19 employees
25-34,Master’s degree,12,India,INR	Indian rupee,Bash/Shell (all shells);Java;SQL,Retail and Consumer Services,"1,000 to 4,999 employees"
18-24,Bachelor’s degree,3,Uzbekistan,UZS	Uzbekistani som,C++;Java;Python,Banking/Financial Services,2 to 9 employees
35-44,Primary/elementary school,5,Ukraine,UAH	Ukrainian hryvnia,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Software Development,10 to 19 employees
18-24,Bachelor’s degree,6,Nepal,USD	United States dollar,C#;Kotlin;Python;SQL,Fintech,20 to 99 employees
25-34,Master’s degree,6,Greece,EUR European Euro,Python;Ruby,Retail and Consumer Services,20 to 99 employees
18-24,Bachelor’s degree,6,Ukraine,EUR European Euro,C#;PowerShell;SQL,Software Development,"10,000 or more employees"
25-34,Master’s degree,10,"Iran, Islamic Republic of...",IRR	Iranian rial,Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Transportation, or Supply Chain","10,000 or more employees"
25-34,Bachelor’s degree,8,Switzerland,CHF	Swiss franc,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Manufacturing,100 to 499 employees
25-34,Master’s degree,6,Romania,RON	Romanian leu,C#;HTML/CSS;Visual Basic (.Net),Software Development,20 to 99 employees
35-44,Professional degree,8,Sweden,SEK	Swedish krona,Bash/Shell (all shells);Python;R,Higher Education,100 to 499 employees
35-44,Master’s degree,30,Italy,EUR European Euro,C;C++;Kotlin;Python;Rust;TypeScript,Software Development,500 to 999 employees
35-44,Master’s degree,10,Poland,PLN	Polish zloty,HTML/CSS;Python;SQL,Banking/Financial Services,"10,000 or more employees"
35-44,Associate degree,24,USA,USD	United States dollar,Bash/Shell (all shells);Elixir;Go;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript,Software Development,"1,000 to 4,999 employees"
35-44,Bachelor’s degree,6,Ukraine,UAH	Ukrainian hryvnia,HTML/CSS;JavaScript;PHP;SQL,Retail and Consumer Services,20 to 99 employees
35-44,Bachelor’s degree,40,USA,USD	United States dollar,Bash/Shell (all shells);C;Fortran;HTML/CSS;JavaScript;Nim;Python;SQL,Fintech,2 to 9 employees
18-24,Professional degree,8,France,EUR European Euro,Assembly;C;C++;Java;Python;Rust,Computer Systems Design and Services,"5,000 to 9,999 employees"
25-34,Master’s degree,15,Germany,EUR European Euro,C;Java;Python,Software Development,100 to 499 employees
25-34,Master’s degree,11,Germany,EUR European Euro,Bash/Shell (all shells);C++;Python,Manufacturing,20 to 99 employees
25-34,Bachelor’s degree,8,Kenya,KES	Kenyan shilling,JavaScript;TypeScript,Software Development,10 to 19 employees
25-34,Bachelor’s degree,10,Ukraine,UAH	Ukrainian hryvnia,Java;Python,Software Development,"5,000 to 9,999 employees"
25-34,Master’s degree,9,Denmark,DKK	Danish krone,C#;HTML/CSS;JavaScript;SQL;TypeScript,Higher Education,"1,000 to 4,999 employees"
18-24,Master’s degree,6,Romania,RON	Romanian leu,C#;HTML/CSS;SQL;Visual Basic (.Net),Software Development,100 to 499 employees
55-64,Secondary school,8,Serbia,EUR European Euro,Java;Kotlin,Media & Advertising Services,2 to 9 employees
18-24,Bachelor’s degree,7,Cyprus,EUR European Euro,Kotlin,Software Development,"1,000 to 4,999 employees"
35-44,Bachelor’s degree,4,France,EUR European Euro,HTML/CSS;Java;JavaScript;PHP;SQL,Software Development,20 to 99 employees
25-34,Attended college but no degree,16,Germany,EUR European Euro,C#;Python;SQL,Manufacturing,100 to 499 employees
25-34,Bachelor’s degree,11,Sweden,SEK	Swedish krona,C#;C++;HTML/CSS;PowerShell,Healthcare,"1,000 to 4,999 employees"
25-34,Master’s degree,10,Lithuania,EUR European Euro,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Objective-C;Python;R;SQL,Software Development,20 to 99 employees
25-34,Master’s degree,12,Greece,EUR European Euro,Java;SQL,Insurance,500 to 999 employees
18-24,Master’s degree,6,Pakistan,PKR	Pakistani rupee,C++;Dart;HTML/CSS;JavaScript;TypeScript,Software Development,100 to 499 employees
25-34,Bachelor’s degree,9,Nepal,NPR	Nepalese rupee,Bash/Shell (all shells);JavaScript;Python;TypeScript,Fintech,20 to 99 employees
25-34,Bachelor’s degree,5,Sri Lanka,LKR	Sri Lankan rupee,HTML/CSS;JavaScript;Kotlin;TypeScript,Banking/Financial Services,20 to 99 employees
25-34,Bachelor’s degree,10,Belgium,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Software Development,2 to 9 employees
25-34,Bachelor’s degree,2,Germany,EUR European Euro,HTML/CSS;JavaScript;TypeScript,"Internet, Telecomm or Information Services",2 to 9 employees
25-34,Master’s degree,8,India,INR	Indian rupee,HTML/CSS;Java;JavaScript;PHP;SQL,Software Development,20 to 99 employees
25-34,Master’s degree,6,France,EUR European Euro,JavaScript;PHP;Python;SQL,Higher Education,10 to 19 employees
18-24,Bachelor’s degree,8,France,EUR European Euro,Bash/Shell (all shells);C++;Crystal;Dart;Elixir;Erlang;Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;Swift;TypeScript;Zig,Software Development,2 to 9 employees
35-44,Master’s degree,7,Ukraine,USD	United States dollar,HTML/CSS;JavaScript;TypeScript,Software Development,20 to 99 employees
25-34,Secondary school,12,Italy,EUR European Euro,Dart;Java;Kotlin;Swift,Retail and Consumer Services,"1,000 to 4,999 employees"
25-34,Master’s degree,11,France,EUR European Euro,C++;GDScript;HTML/CSS;JavaScript,Software Development,20 to 99 employees
25-34,Master’s degree,13,UK and Northern Ireland,GBP	Pound sterling,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net),Higher Education,500 to 999 employees
25-34,Bachelor’s degree,17,Japan,JPY	Japanese yen,HTML/CSS;JavaScript;PHP;SQL,Retail and Consumer Services,20 to 99 employees
35-44,Master’s degree,3,Germany,EUR European Euro,C++;HTML/CSS;MicroPython;Python,Manufacturing,500 to 999 employees
45-54,Professional degree,37,Germany,EUR European Euro,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;TypeScript,"Transportation, or Supply Chain",500 to 999 employees
35-44,Bachelor’s degree,20,USA,USD	United States dollar,C#;C++,Manufacturing,100 to 499 employees
25-34,Bachelor’s degree,12,Pakistan,PKR	Pakistani rupee,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;PHP;SQL,"Internet, Telecomm or Information Services",20 to 99 employees
25-34,Attended college but no degree,15,Greece,EUR European Euro,C#;JavaScript;SQL,Banking/Financial Services,100 to 499 employees
45-54,Master’s degree,40,France,EUR European Euro,Bash/Shell (all shells);Java;SQL,Banking/Financial Services,"10,000 or more employees"
25-34,Master’s degree,15,India,INR	Indian rupee,Python;SQL,"Internet, Telecomm or Information Services","10,000 or more employees"
45-54,Bachelor’s degree,40,Germany,EUR European Euro,HTML/CSS;JavaScript;Rust;SQL;Swift,Software Development,10 to 19 employees
25-34,Attended college but no degree,14,Germany,EUR European Euro,HTML/CSS;JavaScript;Lua;Python,"Internet, Telecomm or Information Services",20 to 99 employees
18-24,Bachelor’s degree,4,Greece,EUR European Euro,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;R;SQL,Media & Advertising Services,100 to 499 employees
45-54,Professional degree,30,Switzerland,CHF	Swiss franc,C#;PowerShell;Python;SQL,Manufacturing,500 to 999 employees
35-44,Bachelor’s degree,25,New Zealand,NZD	New Zealand dollar,Bash/Shell (all shells);Java;JavaScript;SQL;TypeScript,Computer Systems Design and Services,20 to 99 employees
35-44,Master’s degree,26,Germany,EUR European Euro,Bash/Shell (all shells);C;C++;Go;Python,Software Development,10 to 19 employees
18-24,Bachelor’s degree,5,India,INR	Indian rupee,Java,Software Development,"5,000 to 9,999 employees"
25-34,Bachelor’s degree,8,Turkey,TRY	Turkish lira,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL,Software Development,10 to 19 employees
45-54,Professional degree,27,France,EUR European Euro,Assembly;Bash/Shell (all shells);C;C#;Cobol;Delphi;Java;JavaScript;PowerShell;Python;SQL,Retail and Consumer Services,"1,000 to 4,999 employees"
18-24,Bachelor’s degree,6,Greece,EUR European Euro,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,Media & Advertising Services,100 to 499 employees
18-24,Attended college but no degree,4,Ukraine,UAH	Ukrainian hryvnia,Bash/Shell (all shells);JavaScript;TypeScript,Software Development,20 to 99 employees
25-34,Master’s degree,9,France,EUR European Euro,C#;HTML/CSS;JavaScript;SQL;TypeScript,Retail and Consumer Services,100 to 499 employees
55-64,Attended college but no degree,32,UK and Northern Ireland,GBP	Pound sterling,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Government,"5,000 to 9,999 employees"
18-24,Bachelor’s degree,4,Ukraine,UAH	Ukrainian hryvnia,Kotlin;Objective-C;Swift,Software Development,20 to 99 employees
25-34,Bachelor’s degree,9,Italy,EUR European Euro,Bash/Shell (all shells);Go;Python;SQL;TypeScript,Retail and Consumer Services,20 to 99 employees
25-34,Master’s degree,13,Tunisia,TND	Tunisian dinar,C#;HTML/CSS;JavaScript;SQL,Banking/Financial Services,"1,000 to 4,999 employees"
25-34,Master’s degree,6,Slovakia,EUR European Euro,C#;Java;Julia;Lua;MATLAB;Python;SQL;VBA,Manufacturing,20 to 99 employees
25-34,Bachelor’s degree,14,Hungary,HUF	Hungarian forint,C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),Software Development,100 to 499 employees
35-44,Master’s degree,13,Netherlands,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;PowerShell;Python;SQL,Higher Education,"1,000 to 4,999 employees"
25-34,Bachelor’s degree,6,Kenya,KES	Kenyan shilling,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Media & Advertising Services,2 to 9 employees
25-34,Bachelor’s degree,9,Luxembourg,EUR European Euro,Java;JavaScript;TypeScript,Fintech,20 to 99 employees
35-44,Master’s degree,13,Croatia,EUR European Euro,PHP,"Internet, Telecomm or Information Services","1,000 to 4,999 employees"
25-34,Bachelor’s degree,10,Germany,EUR European Euro,C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;Visual Basic (.Net),Software Development,100 to 499 employees
18-24,Secondary school,8,Israel,ILS	Israeli new shekel,Bash/Shell (all shells);TypeScript,Software Development,10 to 19 employees
35-44,Master’s degree,6,Turkey,TRY	Turkish lira,Dart;Python,Software Development,2 to 9 employees
25-34,Master’s degree,17,Spain,EUR European Euro,HTML/CSS;JavaScript;Python;TypeScript,"Internet, Telecomm or Information Services","5,000 to 9,999 employees"
25-34,Master’s degree,20,Romania,RON	Romanian leu,Java;SQL,Software Development,"10,000 or more employees"
35-44,Master’s degree,20,Russian Federation,RUB	Russian ruble,C;C#;Rust,Software Development,20 to 99 employees
35-44,Master’s degree,25,Germany,EUR European Euro,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Rust;Scala;SQL;TypeScript,Media & Advertising Services,100 to 499 employees
35-44,Master’s degree,29,UK and Northern Ireland,GBP	Pound sterling,C#;Dart;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Software Development,"1,000 to 4,999 employees"
35-44,Master’s degree,25,France,EUR European Euro,Assembly;Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Retail and Consumer Services,500 to 999 employees
25-34,Bachelor’s degree,10,Germany,EUR European Euro,Bash/Shell (all shells);C;C++;Lua;Rust,Computer Systems Design and Services,20 to 99 employees
25-34,Bachelor’s degree,12,Germany,EUR European Euro,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Retail and Consumer Services,"10,000 or more employees"
25-34,Bachelor’s degree,16,Italy,EUR European Euro,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Software Development,100 to 499 employees
25-34,Attended college but no degree,8,Viet Nam,VND	Vietnamese dong,HTML/CSS;PHP;SQL;TypeScript,Software Development,20 to 99 employees
45-54,Bachelor’s degree,35,Australia,AUD	Australian dollar,Bash/Shell (all shells);Ruby;SQL;TypeScript,"Internet, Telecomm or Information Services",20 to 99 employees
25-34,Bachelor’s degree,10,Netherlands,EUR European Euro,Java;JavaScript;Kotlin;SQL;TypeScript,"Transportation, or Supply Chain",100 to 499 employees
35-44,Master’s degree,21,Italy,EUR European Euro,C#;Java;JavaScript;PHP;Python;SQL,Software Development,2 to 9 employees
35-44,Bachelor’s degree,22,Romania,EUR European Euro,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Computer Systems Design and Services,100 to 499 employees
18-24,Bachelor’s degree,5,Taiwan,TWD	New Taiwan dollar,Bash/Shell (all shells);C++;Dart;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Software Development,2 to 9 employees
18-24,Attended college but no degree,3,Germany,EUR European Euro,C#;Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;VBA,Software Development,"1,000 to 4,999 employees"
25-34,Master’s degree,12,Greece,EUR European Euro,C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,Banking/Financial Services,100 to 499 employees
25-34,Master’s degree,7,Belgium,EUR European Euro,C#;SQL,Healthcare,20 to 99 employees
25-34,Attended college but no degree,14,Czech Republic,CZK	Czech koruna,Go;JavaScript;Python;Rust;SQL;TypeScript,Software Development,20 to 99 employees
55-64,Bachelor’s degree,32,UK and Northern Ireland,GBP	Pound sterling,Bash/Shell (all shells);Java,Government,"5,000 to 9,999 employees"
25-34,Bachelor’s degree,13,India,INR	Indian rupee,HTML/CSS;Java;JavaScript;SQL,Banking/Financial Services,"10,000 or more employees"
25-34,Master’s degree,9,Norway,NOK	Norwegian krone,Java;Python,Energy,"1,000 to 4,999 employees"
25-34,Master’s degree,9,Ukraine,UAH	Ukrainian hryvnia,C#;JavaScript;TypeScript,Manufacturing,100 to 499 employees
45-54,Bachelor’s degree,34,Spain,EUR European Euro,Bash/Shell (all shells);Go;Java;JavaScript;Python;Ruby;Rust;SQL,Software Development,10 to 19 employees
35-44,Bachelor’s degree,24,Turkey,TRY	Turkish lira,HTML/CSS;Java;JavaScript;PHP;SQL,Fintech,2 to 9 employees
25-34,Bachelor’s degree,7,Portugal,EUR European Euro,HTML/CSS;JavaScript;Kotlin,Manufacturing,10 to 19 employees
25-34,Professional degree,13,Italy,EUR European Euro,C++;Lua;Python,Higher Education,"1,000 to 4,999 employees"
35-44,Attended college but no degree,20,Hungary,HUF	Hungarian forint,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Python;SQL;TypeScript,Software Development,20 to 99 employees
35-44,Master’s degree,12,Ukraine,USD	United States dollar,Java;Kotlin;SQL,Software Development,20 to 99 employees
25-34,Bachelor’s degree,10,Egypt,EGP	Egyptian pound,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;TypeScript,Retail and Consumer Services,500 to 999 employees
25-34,Bachelor’s degree,12,Sri Lanka,LKR	Sri Lankan rupee,Java;JavaScript,Software Development,2 to 9 employees
25-34,Master’s degree,12,Ukraine,EUR European Euro,Elixir;HTML/CSS;JavaScript;Lisp;Python;SQL,Retail and Consumer Services,20 to 99 employees
25-34,Associate degree,10,Denmark,DKK	Danish krone,C#;JavaScript;Lua;PowerShell;Python;SQL;TypeScript,Software Development,100 to 499 employees
18-24,Bachelor’s degree,8,Bangladesh,BDT	Bangladeshi taka,Java;Kotlin;Python,Fintech,500 to 999 employees
25-34,Attended college but no degree,8,Austria,EUR European Euro,Bash/Shell (all shells);C#;PowerShell;Python;SQL,Software Development,20 to 99 employees
18-24,Bachelor’s degree,7,India,INR	Indian rupee,HTML/CSS;JavaScript;TypeScript,Software Development,20 to 99 employees
35-44,Master’s degree,25,Sweden,SEK	Swedish krona,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Retail and Consumer Services,Self-employed
25-34,Master’s degree,7,Germany,EUR European Euro,Python;SQL,Software Development,100 to 499 employees
25-34,Bachelor’s degree,3,Pakistan,PKR	Pakistani rupee,HTML/CSS;JavaScript;PHP;Python;SQL,Software Development,20 to 99 employees
45-54,Professional degree,35,Spain,EUR European Euro,C;C#;C++;Cobol;HTML/CSS;Java;JavaScript;SQL;TypeScript;VBA;Visual Basic (.Net),Software Development,2 to 9 employees
25-34,Bachelor’s degree,13,Pakistan,PKR	Pakistani rupee,Dart;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,Software Development,100 to 499 employees
25-34,Bachelor’s degree,3,India,INR	Indian rupee,HTML/CSS;Java;JavaScript;PHP;Python;SQL,Government,100 to 499 employees
18-24,Bachelor’s degree,8,Taiwan,TWD	New Taiwan dollar,Bash/Shell (all shells);C#;JavaScript;Python;Rust;SQL;TypeScript;Zig,Computer Systems Design and Services,100 to 499 employees
25-34,Master’s degree,11,Finland,EUR European Euro,HTML/CSS;JavaScript;TypeScript,Fintech,20 to 99 employees
35-44,Master’s degree,30,Romania,EUR European Euro,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Lua;PHP;Python;SQL,Media & Advertising Services,"10,000 or more employees"
25-34,Bachelor’s degree,11,Bangladesh,BDT	Bangladeshi taka,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Software Development,500 to 999 employees
35-44,Bachelor’s degree,23,Romania,RON	Romanian leu,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Software Development,20 to 99 employees
25-34,Master’s degree,14,India,INR	Indian rupee,C#;HTML/CSS;JavaScript;Python;SQL,Software Development,20 to 99 employees
45-54,Master’s degree,15,Georgia,USD	United States dollar,Bash/Shell (all shells);C#;Crystal;Elixir;Go;HTML/CSS;JavaScript;Julia;Kotlin;PowerShell;Python;Ruby;Rust;SQL,"Internet, Telecomm or Information Services",100 to 499 employees
35-44,Professional degree,10,Norway,NOK	Norwegian krone,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;TypeScript,Energy,20 to 99 employees
18-24,Bachelor’s degree,9,France,EUR European Euro,C;C++;Java;JavaScript;MATLAB;Python;R,Computer Systems Design and Services,20 to 99 employees
25-34,Bachelor’s degree,9,Switzerland,CHF	Swiss franc,HTML/CSS;JavaScript;Ruby;TypeScript,Manufacturing,100 to 499 employees
35-44,Master’s degree,13,India,INR	Indian rupee,JavaScript,Software Development,"10,000 or more employees"
25-34,Bachelor’s degree,13,India,INR	Indian rupee,Apex;HTML/CSS;Java;JavaScript;SQL,Software Development,"10,000 or more employees"
25-34,Bachelor’s degree,13,Germany,EUR European Euro,Bash/Shell (all shells);C#;Dart;HTML/CSS;PowerShell;R;Rust;SQL;TypeScript,Software Development,2 to 9 employees
25-34,Master’s degree,11,Netherlands,EUR European Euro,Bash/Shell (all shells);C;C++;JavaScript;Python;Rust;Swift;TypeScript,"Internet, Telecomm or Information Services","5,000 to 9,999 employees"
25-34,Secondary school,6,Viet Nam,VND	Vietnamese dong,C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;VBA,Software Development,20 to 99 employees
25-34,Master’s degree,10,Taiwan,TWD	New Taiwan dollar,C;C#;C++;PowerShell,Manufacturing,10 to 19 employees
18-24,Secondary school,15,Germany,EUR European Euro,C#;HTML/CSS;JavaScript;PHP;TypeScript,Software Development,20 to 99 employees
18-24,Bachelor’s degree,18,India,INR	Indian rupee,PHP,Software Development,500 to 999 employees
35-44,Master’s degree,20,Norway,NOK	Norwegian krone,C#;TypeScript,Healthcare,100 to 499 employees
25-34,Master’s degree,17,Ukraine,UAH	Ukrainian hryvnia,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;SQL,Software Development,20 to 99 employees
18-24,Associate degree,9,Switzerland,CHF	Swiss franc,C#;Dart;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Computer Systems Design and Services,100 to 499 employees
35-44,Professional degree,12,Germany,EUR European Euro,Perl;R;SQL,Healthcare,100 to 499 employees
18-24,Master’s degree,6,Italy,EUR European Euro,Assembly;C;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript,Software Development,20 to 99 employees
18-24,Bachelor’s degree,10,Italy,EUR European Euro,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;SQL,Banking/Financial Services,"1,000 to 4,999 employees"
18-24,Bachelor’s degree,10,Hong Kong (S.A.R.),HKD	Hong Kong dollar,C#;C++;HTML/CSS;Java;JavaScript;Python;TypeScript;VBA,Fintech,20 to 99 employees
35-44,Master’s degree,12,Germany,EUR European Euro,Bash/Shell (all shells);Python,Higher Education,"5,000 to 9,999 employees"
25-34,Master’s degree,14,Spain,EUR European Euro,C;C++;Java;JavaScript;Julia;Python,Higher Education,20 to 99 employees
35-44,Master’s degree,7,Ukraine,EUR European Euro,Bash/Shell (all shells);Java;JavaScript;PHP;PowerShell;TypeScript,Healthcare,20 to 99 employees
25-34,Master’s degree,12,France,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby,Software Development,20 to 99 employees
25-34,Bachelor’s degree,8,Cambodia,KHR	Cambodian riel,C;Dart;HTML/CSS;JavaScript;Lua;Python;R;Solidity;SQL,"Internet, Telecomm or Information Services",10 to 19 employees
25-34,Bachelor’s degree,20,Armenia,AMD	Armenian dram,Bash/Shell (all shells);C;HTML/CSS;JavaScript;Lua;Perl;PHP;PowerShell;Python;SQL;TypeScript,Software Development,100 to 499 employees
25-34,Master’s degree,11,Poland,PLN	Polish zloty,Go;JavaScript;Python;TypeScript,Fintech,"1,000 to 4,999 employees"
45-54,Professional degree,20,Russian Federation,RUB	Russian ruble,C#;HTML/CSS;Java;JavaScript;Kotlin;SQL,Energy,"1,000 to 4,999 employees"
25-34,Master’s degree,15,UK and Northern Ireland,GBP	Pound sterling,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MicroPython;PHP;Python;SQL;TypeScript,Software Development,"10,000 or more employees"
35-44,Master’s degree,18,Germany,EUR European Euro,HTML/CSS;JavaScript;TypeScript,Software Development,500 to 999 employees
25-34,Master’s degree,12,Poland,PLN	Polish zloty,HTML/CSS;Java;JavaScript;SQL;TypeScript,Computer Systems Design and Services,20 to 99 employees
25-34,Master’s degree,7,France,EUR European Euro,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Ruby;SQL,"Transportation, or Supply Chain",20 to 99 employees
18-24,Secondary school,6,Germany,EUR European Euro,HTML/CSS;JavaScript;Nim;Python;Rust,Software Development,2 to 9 employees
25-34,Bachelor’s degree,7,India,INR	Indian rupee,C;C++;HTML/CSS;JavaScript;MATLAB;Objective-C;Solidity;SQL,Software Development,100 to 499 employees
45-54,Bachelor’s degree,15,Malaysia,MYR	Malaysian ringgit,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Software Development,20 to 99 employees
25-34,Master’s degree,7,France,EUR European Euro,C#;Java;SQL,Software Development,"5,000 to 9,999 employees"
18-24,Bachelor’s degree,2,India,INR	Indian rupee,HTML/CSS;JavaScript;TypeScript,Software Development,20 to 99 employees
35-44,Master’s degree,8,"Iran, Islamic Republic of...",IRR	Iranian rial,JavaScript;TypeScript,Software Development,2 to 9 employees
25-34,Attended college but no degree,15,Italy,EUR European Euro,HTML/CSS;Java;JavaScript,Banking/Financial Services,100 to 499 employees
35-44,Bachelor’s degree,14,Pakistan,PKR	Pakistani rupee,Kotlin;Objective-C;Swift,Software Development,20 to 99 employees
18-24,Attended college but no degree,4,Germany,EUR European Euro,C#;Cobol;HTML/CSS;JavaScript;Python;SQL,"Transportation, or Supply Chain","10,000 or more employees"
18-24,Bachelor’s degree,6,Germany,EUR European Euro,C#,Software Development,"10,000 or more employees"
25-34,Bachelor’s degree,19,Spain,EUR European Euro,Bash/Shell (all shells);C#;GDScript;Go,Software Development,2 to 9 employees
25-34,Master’s degree,9,France,EUR European Euro,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,"Internet, Telecomm or Information Services",20 to 99 employees
25-34,Master’s degree,14,Norway,NOK	Norwegian krone,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,Software Development,10 to 19 employees
